,title,affiliations
259,An Empirical Study of Group Conformity in Multi-Agent Systems,"['Kim & Chang', 'Kim & Chang', 'Kim & Chang']"
260,Combining the Best of Both Worlds: A Method for Hybrid NMT and LLM Translation,"['Huawei Technologies Ltd.', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.']"
261,ASPO: Adaptive Sentence-Level Preference Optimization for Fine-Grained Multimodal Reasoning,"['Northwest Polytechnical University Xi’an', 'Alibaba Group', 'Alibaba Group']"
262,Exploring the Choice Behavior of Large Language Models,"['Research, Microsoft and University of Science and Technology of China', 'Nankai University', 'University of Science and Technology of China', 'University of Science and Technology of China']"
263,On-Policy Self-Alignment with Fine-grained Knowledge Feedback for Hallucination Mitigation,"['Institute of Software, Chinese Academy of Sciences', 'Institute of Software, Chinese Academy of Sciences', 'Institute of Software, CAS', 'Institute of Software, Chinese Academy of Sciences']"
264,From Phrases to Subgraphs: Fine-Grained Semantic Parsing for Knowledge Graph Question Answering,"['Nanjing University of Science and Technology', 'Nanjing University of Science and Technology']"
265,"StableToolBench-MirrorAPI: Modeling Tool Environments as Mirrors of 7,000+ Real-World APIs","['Tsinghua University, Tsinghua University', 'Google', 'Renmin University of China']"
266,ClaimPKG: Enhancing Claim Verification via Pseudo-Subgraph Generation with Lightweight Specialized LLM,"['Viettel AI & Data Service Center', 'Viettel Group']"
267,Chain of Methodologies: Scaling Test Time Computation without Training,"['Temple University', 'SUN YAT-SEN UNIVERSITY', 'SUN YAT-SEN UNIVERSITY', 'SUN YAT-SEN UNIVERSITY', 'SUN YAT-SEN UNIVERSITY']"
268,A Survey on Personalized Alignment—The Missing Piece for Large Language Models in Real-World Applications,"['Renmin University of China', 'Ant Research']"
269,SuLoRA: Subspace Low-Rank Adaptation for Parameter-Efficient Fine-Tuning,"['Xi’an Jiaotong University', 'Xi’an Jiaotong University']"
270,MIRe: Enhancing Multimodal Queries Representation via Fusion-Free Modality Interaction for Multimodal Retrieval,"['Korea University', 'Korea University']"
271,Correcting on Graph: Faithful Semantic Parsing over Knowledge Graphs with Large Language Models,['Huazhong University of Science and Technology']
272,COPR: Continual Human Preference Learning via Optimal Policy Regularization,"['Pengcheng Laboratory', 'King’s College London, University of London', 'Peng Cheng Laboratory, Shenzhen, China', 'National University of Defense Technology', 'Pengcheng Laboratory', 'Harbin Institute of Technology', 'King’s College London, University of London', 'The Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'Harbin Institute of Technology']"
273,Robust Preference Optimization via Dynamic Target Margins,"['University of Science and Technology of China', 'University of Science and Technology of China', 'Ant Group, China', 'Ant Group', 'Ant Group', 'University of Science and Technology of China']"
274,AdaReTaKe: Adaptive Redundancy Reduction to Perceive Longer for Video-language Understanding,"['Huawei Technologies Ltd.', 'Harbin Institute of Technology (Shenzhen)', 'Huawei Technologies Ltd.', 'Harbin Institute of Technology (Shenzhen) and Shandong University']"
275,Rethinking Stateful Tool Use in Multi-Turn Dialogues: Benchmarks and Challenges,"['The Chinese University of Hong Kong', 'University of Edinburgh, University of Edinburgh', 'Huawei Technologies Ltd.', 'Georg-August Universität Göttingen', 'Southeast University', 'University of Edinburgh, University of Edinburgh', 'The Chinese University of Hong Kong']"
276,Open-Set Living Need Prediction with Large Language Models,"['Tsinghua University', 'Tsinghua University']"
277,Improve Rule Retrieval and Reasoning with Self-Induction and Relevance ReEstimate,"['Institute of automation, Chinese academy of science', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences']"
278,"Beyond Words: Integrating Theory of Mind into Conversational Agents for Human-Like Belief, Desire, and Intention Alignment","['University of New South Wales', 'University of New South Wales']"
279,Multimodal Causal Reasoning Benchmark: Challenging Multimodal Large Language Models to Discern Causal Links Across Modalities,"['Sony R&D and University of Sydney, University of Sydney', 'University of Sydney', 'The University of Sydney', 'The University of Sydney']"
280,Context-Aware Hierarchical Merging for Long Document Summarization,"['Edinburgh University, University of Edinburgh']"
281,VCD: A Dataset for Visual Commonsense Discovery in Images,"['Nanjing University of Science and Technology', 'Nanjing University of Science and Technology']"
282,Self-Reasoning Language Models: Unfold Hidden Reasoning Chains with Few Reasoning Catalyst,"['The Chinese University of Hong Kong', 'Tencent AI Lab', 'ByteDance Inc.', 'University of Edinburgh, University of Edinburgh', 'The Chinese University of Hong Kong']"
283,HyperCRS: Hypergraph-Aware Multi-Grained Preference Learning to Burst Filter Bubbles in Conversational Recommendation System,"['Nanyang Technological University', 'SUN YAT-SEN UNIVERSITY', 'South China Agricultural University', 'SUN YAT-SEN UNIVERSITY', 'SUN YAT-SEN UNIVERSITY', 'Nanyang Technological University']"
284,Is LLM an Overconfident Judge? Unveiling the Capabilities of LLMs in Detecting Offensive Language with Annotation Disagreement,"['Singapore University of Technology and Design', 'Dalian University of Technology', 'Dalian University of Technology']"
285,Language Repository for Long Video Understanding,"['Meta', 'State University of New York, Stony Brook', 'Salesforce AI Research and Stony Brook University']"
286,Investigating Language Preference of Multilingual RAG Systems,"['Chung-Ang University', 'Chung-Ang University']"
287,FGDGNN: Fine-Grained Dynamic Graph Neural Network for Rumor Detection on Social Media,"['Nankai University', 'Tianjin University of Technology', 'Nankai University', 'Nankai University']"
288,Self-Tuning: Instructing LLMs to Effectively Acquire New Knowledge through Self-Teaching,"['The Chinese University of Hong Kong', 'Research, Microsoft', 'Tencent AI Lab', 'The Chinese University of Hong Kong']"
289,QueryAttack: Jailbreaking Aligned Large Language Models Using Structured Non-natural Query Language,"['Tsinghua University, Tsinghua University', 'The Chinese University of Hong Kong', 'Pengcheng Laboratory and Pengcheng Laboratory', 'Jilin University', 'University of Electronic Science and Technology of China', 'Hong Kong University of Science and Technology', 'Tsinghua University', 'Shenzhen University', 'Tsinghua University']"
290,Memory or Reasoning? Explore How LLMs Compute Mixed Arithmetic Expressions,"['Beijing Institute of Technology', 'Beijing Institute of Technology', 'Beijing Institute of Technology']"
291,PersonaX: A Recommendation Agent-Oriented User Modeling Framework for Long Behavior Sequence,"['Rutgers University', 'University of Technology Sydney', 'University of Technology Sydney', 'University of Technology Sydney']"
292,Judge as A Judge: Improving the Evaluation of Retrieval-Augmented Generation through the Judge-Consistency of Large Language Models,"['Northeastern University', 'Northeastern University', 'Tsinghua University', 'Beijing University of Posts and Telecommunications', 'Tsinghua University, Tsinghua University', 'Tsinghua University', 'Tsinghua University']"
293,Rationales Are Not Silver Bullets: Measuring the Impact of Rationales on Model Performance and Reliability,"['Alibaba Group', 'Alibaba Group', 'Beijing University of Posts and Telecommunications', 'University of Science and Technology of China']"
294,CA-GAR: Context-Aware Alignment of LLM Generation for Document Retrieval,"['University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'Institute of Artificial Intelligence, Hefei Comprehensive National Science Center', 'University of Science and Technology of China']"
295,AgentCourt: Simulating Court with Adversarial Evolvable Lawyer Agents,"['Beijing Institute of Technology', 'Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences', 'SUN YAT-SEN UNIVERSITY', 'Shenzhen MSU-BIT University', 'Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences', 'UNSW Sydney', 'Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences', 'Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences']"
296,MLDebugging: Towards Benchmarking Code Debugging Across Multi-Library Scenarios,"['University of Hong Kong', 'Central South University', 'Central South University', 'Central South University', 'Central South University']"
297,An Empirical Study of LLM-as-a-Judge for LLM Evaluation: Fine-tuned Judge Model is not a General Substitute for GPT-4,"['Alibaba Group', 'Baidu', 'Harbin Institute of Technology']"
298,Expectation Confirmation Preference Optimization for Multi-Turn Conversational Recommendation Agent,"['Huawei Technologies Ltd.', 'Renmin University of China', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.']"
299,"ProMedTS: A Self-Supervised, Prompt-Guided Multimodal Approach for Integrating Medical Text and Time Series","['University of Hong Kong and Hong Kong Baptist University', 'Hong Kong Baptist University', 'Hong Kong Baptist University', 'Shanghai Institute for Advanced Study of Zhejiang University', 'The Hong Kong University of Science and Technology', 'Hong Kong Baptist University', 'The Manchester Metropolitan University', 'University of Manchester']"
300,CipherBank: Exploring the Boundary of LLM Reasoning Capabilities through Cryptography Challenge,"['Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory', 'Shanghai AI Lab', 'Shanghai Artificial Intelligence Laboratory']"
301,Which Retain Set Matters for LLM Unlearning? A Case Study on Entity Unlearning,['Chung-Ang University']
302,Tell Me What You Don’t Know: Enhancing Refusal Capabilities of Role-Playing Agents via Representation Space Analysis and Editing,"['Tencent Youtu Lab', 'Fudan University', 'Tencent YouTu Lab', 'Fudan University']"
303,LR²Bench: Evaluating Long-chain Reflective Reasoning Capabilities of Large Language Models via Constraint Satisfaction Problems,"['Institute of automation, Chinese academy of science, Chinese Academy of Sciences', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences']"
304,McBE: A Multi-task Chinese Bias Evaluation Benchmark for Large Language Models,"['Inner Mongolia University', 'Inner Mongolia University', 'Inner Mongolia University']"
305,Can Language Models Capture Human Writing Preferences for Domain-Specific Text Summarization?,"['Nanjing University of Science and Technology', 'Deakin University', 'Institute of Information Engineering, Chinese Academy of Sciences and University of Chinese Academy of Sciences', 'Southwest University', 'Deakin University', 'Deakin University', 'Nanjing University of Science and Technology']"
306,Mitigate Position Bias in LLMs via Scaling a Single Hidden States Channel,"['Microsoft', 'Microsoft Research', 'Microsoft', 'Microsoft', 'Microsoft Research Asia', 'Research, Microsoft', 'Tsinghua University, Tsinghua University', 'Microsoft and University of Texas at Austin']"
307,Self-attention-based Graph-of-Thought for Math Problem Solving,"['China Mobile Research Institute', 'China Mobile Communications Company Limited Research Institute', 'China Mobile Research Institute']"
308,BAR: A Backward Reasoning based Agent for Complex Minecraft Tasks,"['Sichuan University', 'Sichuan University', 'Alan Turing Institute and University of Leeds', 'Sichuan University']"
309,KAPA: A Deliberative Agent Framework with Tree-Structured Knowledge Base for Multi-Domain User Intent Understanding,"['Wechat, Tencent', 'WeChat', 'Renmin University of China', 'Renmin University of China']"
310,RASD: Retrieval-Augmented Speculative Decoding,"['Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group']"
311,FRAG: A Flexible Modular Framework for Retrieval-Augmented Generation based on Knowledge Graphs,"['University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China']"
312,"Reefknot: A Comprehensive Benchmark for Relation Hallucination Evaluation, Analysis and Mitigation in Multimodal Large Language Models","['The Hong Kong University of Science and Technology', 'Guangxi Zhuang Autonomous Region Big Data Research Institute', 'The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology']"
313,Blessing of Multilinguality: A Systematic Analysis of Multilingual In-Context Learning,['University of Waterloo and Vector Institute']
314,SEK: Self-Explained Keywords Empower Large Language Models for Code Generation,['Zhejiang University']
315,Why Not Act on What You Know? Unleashing Safety Potential of LLMs via Self-Aware Guard Enhancement,"['nanjing university', 'Meituan', 'Meituan', 'Meituan', 'Meituan', 'Nanjing University', 'Nanjing University']"
316,Explorer: Scaling Exploration-driven Web Trajectory Synthesis for Multimodal Web Agents,"['The Ohio State University, Columbus', 'Microsoft', 'Research, Microsoft', 'Ohio State University, Columbus', 'Research, Microsoft', 'Microsoft', 'Ohio State University', 'Microsoft Research']"
317,Advancing General Multimodal Capability of Vision-language Models with Pyramid-descent Visual Position Encoding,"['Tencent AI Lab', 'Tencent INC', 'Tencent America LLC', 'Peking University']"
318,P-React: Synthesizing Topic-Adaptive Reactions of Personality Traits via Mixture of Specialized LoRA Experts,"['East China Normal University', 'Xiaohongshu', 'East China Normal University']"
319,EssayJudge: A Multi-Granular Benchmark for Assessing Automated Essay Scoring Capabilities of Multimodal Large Language Models,"['The Hong Kong University of Science and Technology', 'The Hong Kong University of Science and Technology and Tongji University', 'Guangxi Zhuang Autonomous Region Big Data Research Institute', 'The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology']"
320,Streamlining the Collaborative Chain of Models into A Single Forward Pass in Generation-Based Tasks,['University of Science and Technology of China']
321,Self-Correction is More than Refinement: A Learning Framework for Visual and Language Reasoning Tasks,"['Georgia Institute of Technology', 'Hong Kong University of Science and Technology', 'University of Illinois, Urbana-Champaign']"
322,Beyond Reactive Safety: Risk-Aware LLM Alignment via Long-Horizon Simulation,"['University of Illinois Urbana Champaign', 'Stevens Institute of Technology', 'University of Illinois, Urbana Champaign', 'University of Illinois, Urbana-Champaign']"
323,Probability-Consistent Preference Optimization for Enhanced LLM Reasoning,"['Sensetime', 'The Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'The Chinese University of Hong Kong']"
324,IW-Bench: Evaluating Large Multimodal Models for Converting Image-to-Web,"['National University of Singapore', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group']"
325,TDCSA: LLM-Guided Top-Down Approach for Robust Citation Sentiment Analysis,"['Tsinghua University, Tsinghua University', 'Tsinghua University, Tsinghua University']"
326,DeepRTL2: A Versatile Model for RTL-Related Tasks,"['The Chinese University of Hong Kong', 'The Chinese University of Hong Kong']"
327,The Self-Improvement Paradox: Can Language Models Bootstrap Reasoning Capabilities without External Scaffolding?,"['Zhejiang University', 'Binjiang Institute of Zhejiang University', 'Om AI', 'Binjiang Insititute', 'Zhejiang University']"
328,Cross-lingual Multimodal Sentiment Analysis for Low-Resource Languages via Language Family Disentanglement and Rethinking Transfer,"['Xi’an University of Posts and Telecommunications', 'XUPT', 'Northwest University Xi’an', 'Xi’an University of Posts and Telecommunications', 'Xidian University', 'Xidian University', 'Xidian University']"
329,Does Chain-of-Thought Reasoning Really Reduce Harmfulness from Jailbreaking?,"['The Wharton School, University of Pennsylvania', 'Tsinghua University, Tsinghua University']"
330,InternLM-XComposer2.5-Reward: A Simple Yet Effective Multi-Modal Reward Model,"['Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory', 'School of Computer Science and Engineering, Nanyang Technological University', 'Shanghai AI Laboratory', 'Shanghai AI Laboratory', 'The Chinese University of Hong Kong', 'Shanghai AI Laboratory']"
331,RATE-Nav: Region-Aware Termination Enhancement for Zero-shot Object Navigation with Vision-Language Models,"['Huazhong University of Science and Technology', 'Huazhong University of Science and Technology', 'Pingan Technology']"
332,RMoA: Optimizing Mixture-of-Agents through Diversity Maximization and Residual Compensation,"['East China Normal University', 'Tsinghua University, Tsinghua University', 'East China Normal University', 'Donghua University, Shanghai']"
333,Instruction-Tuning Data Synthesis from Scratch via Web Reconstruction,"['Huawei Technologies Ltd.', 'WeChat AI, Tencent', 'Huawei Technologies Ltd.', 'Noah’s Ark Lab, Huawei', 'Huawei Technologies Ltd.']"
334,RLKGF: Reinforcement Learning from Knowledge Graph Feedback Without Human Annotations,"['Harbin institute of technology', 'Harbin Institute of Technology']"
335,Learning Task Representations from In-Context Learning,"['Yale University', 'Yale University']"
336,CAVGAN: Unifying Jailbreak and Defense of LLMs via Generative Adversarial Attacks on their Internal Representations,['Wuhan University']
337,Firm or Fickle? Evaluating Large Language Models Consistency in Sequential Interactions,"['Carnegie Mellon University', 'Carnegie Mellon University']"
338,OS-Kairos: Adaptive Interaction for MLLM-Powered GUI Agents,"['Shanghai Jiaotong University', 'Meta', 'Shanghai Jiao Tong University', 'Shanghai Jiao Tong University']"
339,Red-Teaming LLM Multi-Agent Systems via Communication Attacks,"['Michigan State University', 'Michigan State University', 'University of Arizona', 'Michigan State University']"
340,Can We Trust AI Doctors? A Survey of Medical Hallucination in Large Language and Large Vision-Language Models,"['Tencent', 'Jarvis Research Center, Tencent YouTu Lab', 'Westlake University', 'Tencent']"
341,DRT: Deep Reasoning Translation via Long Chain-of-Thought,"['Tencent', 'WeChat AI, Tencent Inc.']"
342,CTPD: Cross-Modal Temporal Pattern Discovery for Enhanced Multimodal Electronic Health Records Analysis,['The University of Hong Kong']
343,Vision-aided Unsupervised Constituency Parsing with Multi-MLLM Debating,"['Soochow University', 'Soochow University']"
344,Inter-Passage Verification for Multi-evidence Multi-answer QA,"['New York University', 'University of Washington, University of Illinois, Urbana Champaign and New York University, Shanghai', 'NYU Shanghai']"
345,PROMTEC: Fast LLM Inference Decoding using Prompt Multi-Lookup with Template Database and Common Sequences,"['The Chinese University of Hong Kong', 'Risksis Technology Limited', 'The Chinese University of Hong Kong']"
346,Adapting General-Purpose Embedding Models to Private Datasets Using Keyword-based Retrieval,"['Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology']"
347,SQL Injection Jailbreak: A Structural Disaster of Large Language Models,"['University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China']"
348,TAMP: Token-Adaptive Layerwise Pruning in Multimodal Large Language Models,"['Massachusetts Institute of Technology', 'Hong Kong University of Science and Technology', 'Massachusetts Institute of Technology']"
349,Generative Music Models’ Alignment with Professional and Amateur Users’ Expectations,"['Zhejiang University', 'Zhejiang University']"
350,LLM-Forest: Ensemble Learning of LLMs with Graph-Augmented Prompts for Data Imputation,"['University of Illinois, Urbana-Champaign', 'Beijing University of Aeronautics and Astronautics', 'University of Illinois at Urbana-Champaign']"
351,Task Calibration: Calibrating Large Language Models on Inference Tasks,"['Westlake University', 'westlake university', 'Westlake University']"
352,MiniELM: A Lightweight and Adaptive Query Rewriting Framework for E-Commerce Search Optimization,"['University of Illinois Urbana-Champaign', 'University of Illinois, Urbana Champaign']"
353,Visibility as Survival: Generalizing NLP for Native Alaskan Language Identification,"['Dartmouth College', 'Dartmouth College']"
354,"KodCode: A Diverse, Challenging, and Verifiable Synthetic Dataset for Coding","['University of Texas at Austin', 'Google and The University of Texas at Austin', 'University of Washington, Seattle']"
355,"Select, Read, and Write: A Multi-Agent Framework of Full-Text-based Related Work Generation","['Renmin University of China', 'Renmin University of China', 'Renmin University of China']"
356,Graph-Assisted Culturally Adaptable Idiomatic Translation for Indic languages,"['Sony Research India', 'Sony Research India, Bangalore', 'Sony Research India, Bangalore', 'Sony Research India']"
357,Question Answering in Climate Adaptation for Agriculture: Model Development and Evaluation with Expert Feedback,"['CSIRO', 'CSIRO']"
358,AGRec: Adapting Autoregressive Decoders with Graph Reasoning for LLM-based Sequential Recommendation,"['Yamanashi University', 'Yamanashi University']"
359,Causal Denoising Prototypical Network for Few-Shot Multi-label Aspect Category Detection,"['Yamanashi University', 'Yamanashi University']"
360,RealHiTBench: A Comprehensive Realistic Hierarchical Table Benchmark for Evaluating LLM-Based Table Analysis,"['Zhejiang Lab', 'Hangzhou VIVO Information Technology Co., Ltd', 'Zhejiang University', 'ByteDance Inc.', 'Zhejiang University', 'Zhejiang University']"
361,A Query-Response Framework for Whole-Page Complex-Layout Document Image Translation with Relevant Regional Concentration,"['Institute of automation, Chinese academy of science, Chinese Academy of Sciences', 'University of Chinese Academy of Sciences', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences', 'Institute of Automation, Chinese Academy of Sciences', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences']"
362,DependEval: Benchmarking LLMs for Repository Dependency Understanding,"['Tsinghua University', 'Huawei Technologies Ltd.']"
363,A General Knowledge Injection Framework for ICD Coding,"['University of Science and Technology of China', 'University of Science and Technology of China']"
364,MMUnlearner: Reformulating Multimodal Machine Unlearning in the Era of Multimodal Large Language Models,"['The Hong Kong University of Science and Technology and Tongji University', 'The Hong Kong University of Science and Technology', 'Tongji University', 'The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology']"
365,"Generating Questions, Answers, and Distractors for Videos: Exploring Semantic Uncertainty of Object Motions","['Nankai University', 'Universität Innsbruck', 'Nankai University']"
366,DiffSkip: Differential Layer Skipping in Large Language Models,['UC Santa Barbara']
367,Towards Explainable Temporal Reasoning in Large Language Models: A Structure-Aware Generative Framework,"['Wuhan University', 'Wuhan University', 'Wuhan University and Central China Normal University', 'Wuhan University']"
368,A Bounding Box is Worth One Token - Interleaving Layout and Text in a Large Language Model for Document Understanding,"['ByteDance Inc.', 'ByteDance Inc', 'ByteDance Inc.', 'Tencent Hunyuan Team', 'Bytedance Inc.', 'Bytedance', 'Bytedance']"
369,Self-Foveate: Enhancing Diversity and Difficulty of Synthesized Instructions from Unsupervised Text via Multi-Level Foveation,"['Harbin Institute of Technology', 'Harbin Institute of Technology', 'Harbin Institute of Technology']"
370,TableDreamer: Progressive and Weakness-guided Data Synthesis from Scratch for Table Instruction Tuning,"['University of Chinese Academy of Sciences', 'Baidu', 'Institute of Information Engineering, Chinese Academy of Sciences', 'Institute of Information Engineering, Chinese Academy of Sciences', 'IIE']"
371,Konooz: Multi-domain Multi-dialect Corpus for Named Entity Recognition,"['Birzeit University and Palestine Technical University - Kadoorie', 'Birzeit University and Qualtrics XM', 'Birzeit University']"
372,Self-Rewarding Large Vision-Language Models for Optimizing Prompts in Text-to-Image Generation,"['University of Macau', 'University of Macau', 'University of Macau']"
373,CodeV: Issue Resolving with Visual Data,"['ByteDance Inc.', 'Shandong University', 'University of the Chinese Academy of Sciences', 'Huawei Technologies Ltd.', 'Shandong University', 'Shandong University', 'Peking University']"
374,A Survey of Large Language Models in Psychotherapy: Current Landscape and Future Directions,"['University of Technology Sydney', 'Monash University and University of Liverpool', 'Oracle', 'University of Technology Sydney', 'Xi’an Jiaotong-Liverpool University', 'Harvard University', 'University of Technology Sydney']"
375,Breaking the Reasoning Barrier A Survey on LLM Complex Reasoning through the Lens of Self-Evolution,"['Harbin Institute of Technology', 'Harbin Institute of Technology', 'Fudan University', 'Singapore Management University', 'Harbin Institute of Technology', 'Harbin Institute of Technology', 'Harbin Institute of Technology', 'Harbin Institute of Technology']"
376,SEE: Continual Fine-tuning with Sequential Ensemble of Experts,"['Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory', 'The Chinese University of Hong Kong']"
377,Boosting Policy and Process Reward Models with Monte Carlo Tree Search in Open-Domain QA,"['Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology', 'The Hong Kong University of Science and Technology', 'Peking University', 'Hong Kong University of Science and Technology', 'The Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology and Imperial College London']"
378,Investigating and Enhancing Vision-Audio Capability in Omnimodal Large Language Models,"['Beijing Jiaotong University', 'Nanyang Technological University and A*STAR', 'Beijing Jiaotong University']"
379,OpenHuEval: Evaluating Large Language Model on Hungarian Specifics,"['PJLab', 'Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory', 'Hungarian Research Centre for Linguistics', 'Hungarian Research Centre for Linguistics', 'Harbin Institute of Technology', 'Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory', 'The Chinese University of Hong Kong', 'Shanghai Artificial Intelligence Laboratory', 'Hungarian Research Centre for Linguistics, Pazmany Peter Catholic University and MorphoLogic', 'Shanghai AI Lab']"
380,StructFact: Reasoning Factual Knowledge from Structured Data with Large Language Models,"['University of Technology Sydney and Hong Kong Polytechnic University', 'Hong Kong University of Science and Technology', 'The Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology', 'The Hong Kong Polytechnic University and Hong Kong Polytechnic University', 'The Education University of Hong Kong']"
381,From Imitation to Introspection: Probing Self-Consciousness in Language Models,"['Tongji University', 'Tongji University', 'Shanghai AI Laboratory']"
382,DocFusion: A Unified Framework for Document Parsing Tasks,"['Fudan University', 'Fudan University']"
383,Hierarchical Safety Realignment: Lightweight Restoration of Safety in Pruned Large Vision-Language Models,"['Hasso Plattner Institute and University of Potsdam', 'East China Normal University']"
384,LongDPO: Unlock Better Long-form Generation Abilities for LLMs via Critique-augmented Stepwise Information,"['WeChat AI, Tencent Inc.']"
385,Reinforcing Compositional Retrieval: Retrieving Step-by-Step for Composing Informative Contexts,"['Nanyang Technological University', 'I2R', 'Nanyang Technological University', 'The Chinese University of Hong Kong']"
386,Towards A Better Initial Policy Model For Scalable Long-CoT Reinforcement Learning,"['Peking University', 'Peking University']"
387,Topic Modeling for Short Texts via Optimal Transport-Based Clustering,"['ByteDance Inc.', 'Hanoi University of Science and Technology', 'Hanoi University of Science and Technology', 'Hanoi University of Science and Technology', 'University of Oregon']"
388,Lemmatisation & Morphological Analysis of Unedited Greek: Do Simple Tasks Need Complex Solutions?,"['KU Leuven', 'Ghent University']"
389,FRAME: Feedback-Refined Agent Methodology for Enhancing Medical Research Insights,"['University of Science and Technology of China', 'SUN YAT-SEN UNIVERSITY', 'Hefei Institute of Physical Sciences, Chinese Academy of Sciences', 'Institute of Intelligent Machines,Chinese Academy Of Sciences', 'South China University of Technology']"
390,Chain-of-Scrutiny: Detecting Backdoor Attacks for Large Language Models,"['University of Alabama at Birmingham', 'Facebook']"
391,Relevance Scores Calibration for Ranked List Truncation via TMP Adapter,"['ITMO University', 'STC-Innovation', 'STC']"
392,Neuron Activation Modulation for Text Style Transfer: Guiding Large Language Models,['Beijing University of Posts and Telecommunications']
393,MTVQA: Benchmarking Multilingual Text-Centric Visual Question Answering,"['Bytedance Inc.', 'ByteDance Inc.', 'ByteDance Inc.', 'Bytedance', 'ByteDance Inc', 'Huazhong University of Science and Technology', 'Bytedance', 'Bytedance']"
394,HICD: Hallucination-Inducing via Attention Dispersion for Contrastive Decoding to Mitigate Hallucinations in Large Language Models,"['Chinese Academy of Sciences', 'Shanghai Advanced Research Institute, Chinese Academy of Sciences']"
395,Understanding the Repeat Curse in Large Language Models from a Feature Perspective,"['King Abdullah University of Science and Technology', 'KAUST']"
396,Code-Switching Curriculum Learning for Multilingual Transfer in LLMs,"['KAIST', 'NAVER', 'NAVER', 'Google and Korea Advanced Institute of Science and Technology', 'Sogang University']"
397,A Mousetrap: Fooling Large Reasoning Models for Jailbreak with Chain of Iterative Chaos,"['Shanghai Artificial Intelligence Laboratory and University of Hong Kong', 'Shanghai Artificial Intelligence Laboratory', 'University of Hong Kong', 'Shanghai Artificial Intelligence Laboratory', 'Shanghai Artificial Intelligence Laboratory']"
398,Tag-Evol: Achieving Efficient Instruction Evolving via Tag Injection,"['Harbin Institute of Technology', 'Harbin Institute of Technology']"
399,Breaking the Ceiling: Exploring the Potential of Jailbreak Attacks through Expanding Strategy Space,"['Beihang University', 'Beihang University', 'Tsinghua University, Tsinghua University', 'Beihang University']"
400,GeNRe: A French Gender-Neutral Rewriting System Using Collective Nouns,['Université de Strasbourg']
401,LGAR: Zero-Shot LLM-Guided Neural Ranking for Abstract Screening in Systematic Literature Reviews,"['XITASO GmbH and Universität Augsburg', 'XITASO GmbH', 'University of Augsburg']"
402,LCHAIM - Investigating Long Context Reasoning in Hebrew,"['Ben Gurion University of the Negev', 'Ben Gurion University of the Negev', 'Ben Gurion University of the Negev', 'Ben-Gurion University of the Negev']"
403,CLeVeR: Multi-modal Contrastive Learning for Vulnerability Code Representation,"['Institute of Information Engineering, Chinese Academy of Sciences', 'Institute of Information Engineering, Chinese Academy of Sciences', 'Institute of Information Engineering, Chinese Academy of Sciences', 'Institute of Information Engineering, Chinese Academy of Sciences', 'institute of information engineering, Chinese Academy of Sciences']"
404,MEMIT-Merge: Addressing MEMIT’s Key-Value Conflicts in Same-Subject Batch Editing for LLMs,"['Nanjing University of Science and Technology', 'Nanjing University of Science and Technology']"
405,Large Language Models for Predictive Analysis: How Far Are They?,['Microsoft']
